Technique,Variable,Training_Test,Precision,Recall,F1,Accuracy,Time_t,Time_d
LOF,20/0.2,80/20,0.48674544873842224,0.5493871665465032,0.5161727349703641,0.8970227797001153,00:00:00,00:00:00.170899
Autoencoder,1,80/20,1.0,0.9899062725306417,0.9949275362318841,0.9989907727797002,00:00:35.787552,00:00:05.143261
Percentile,90/10,80/20,0.9883633633633634,0.9491708723864456,0.9683707245310778,0.993800461361015,00:00:00,00:00:01.012341
HBOS,3,80/20,0.8926042486231314,0.8179524152847873,0.8536493604213694,0.9719579008073818,00:00:00.038998,00:00:01.977089
LOF,20/0.2,80/20,0.4923733984136669,0.581831290555155,0.5333773959021811,0.8982122260668973,00:00:00,00:00:00.161237
Autoencoder,1,80/20,1.0,0.9920692141312184,0.9960188201230546,0.9992070357554786,00:00:35.787552,00:00:05.167353
Percentile,90/10,80/20,1.0,0.9635904830569575,0.9814576831283275,0.9963595732410612,00:00:00,00:00:01.106146
HBOS,3,80/20,0.893265064986215,0.8175919250180245,0.8537549407114623,0.9719939446366782,00:00:00.038998,00:00:01.901045
LOF,20/0.2,80/20,0.47305009511731133,0.5378514780100937,0.5033738191632928,0.8938869665513264,00:00:00,00:00:00.171410
Autoencoder,1,80/20,1.0,0.9859408795962509,0.9929206752586677,0.9985942906574394,00:00:35.787552,00:00:05.076729
Percentile,90/10,80/20,0.9895600298284862,0.9567411679884643,0.9728739002932552,0.9946655132641292,00:00:00,00:00:01.042016
HBOS,3,80/20,0.8986099754701553,0.7923576063446287,0.8421455938697318,0.9702998846597463,00:00:00.038998,00:00:01.860727
LOF,20/0.2,80/20,0.494949494949495,0.5652487382840663,0.5277684281386739,0.898861014994233,00:00:00,00:00:00.169913
Autoencoder,1,80/20,1.0,0.9884643114635905,0.994198694706309,0.9988465974625144,00:00:35.787552,00:00:05.042723
Percentile,90/10,80/20,0.9970315398886828,0.9686373467916366,0.9826293655147192,0.9965758362168397,00:00:00,00:00:01.032871
HBOS,3,80/20,0.8914354644149578,0.7992069214131219,0.8428055502756131,0.970191753171857,00:00:00.038998,00:00:01.824917
LOF,20/0.2,80/20,0.4984266834487099,0.5710165825522711,0.532258064516129,0.8996539792387543,00:00:00,00:00:00.165025
Autoencoder,1,80/20,1.0,0.9881038211968277,0.9940163191296465,0.998810553633218,00:00:35.787552,00:00:05.180749
Percentile,90/10,80/20,0.9951256092988376,0.9567411679884643,0.97555596397721,0.9952061707035755,00:00:00,00:00:01.071821
HBOS,3,80/20,0.8922413793103449,0.8208363374188897,0.8550506947052197,0.9721741637831603,00:00:00.038998,00:00:02.073622
LOF,20/0.2,80/20,0.48608475648323846,0.5540735400144197,0.5178571428571429,0.8968425605536332,00:00:00,00:00:00.182954
Autoencoder,1,80/20,1.0,0.9924297043979813,0.9962004704179482,0.9992430795847751,00:00:35.787552,00:00:05.173261
Percentile,90/10,80/20,0.9965661961083556,0.9416005767844268,0.968303985171455,0.9938365051903114,00:00:00,00:00:01.002841
HBOS,3,80/20,0.8993532740501212,0.8020908435472243,0.8479420731707317,0.9712370242214533,00:00:00.038998,00:00:01.874076
LOF,20/0.2,80/20,0.4801163918525703,0.5353280461427542,0.5062212374296915,0.8955810265282583,00:00:00,00:00:00.171351
Autoencoder,1,80/20,1.0,0.989185291997116,0.9945632475534614,0.9989186851211073,00:00:35.787552,00:00:05.397573
Percentile,90/10,80/20,0.9943862275449101,0.9578226387887527,0.975762027175909,0.995242214532872,00:00:00,00:00:01.077783
HBOS,3,80/20,0.9071283095723014,0.8028118240807498,0.851788104800153,0.972066032295271,00:00:00.038998,00:00:01.969111
LOF,20/0.2,80/20,0.4904024767801858,0.5710165825522711,0.5276482345103265,0.8977797001153403,00:00:00,00:00:00.144554
Autoencoder,1,80/20,1.0,0.9902667627974044,0.9951095815975367,0.9990268166089965,00:00:35.787552,00:00:04.826722
Percentile,90/10,80/20,0.9951127819548872,0.9542177361211247,0.9742362900257637,0.9949538638985006,00:00:00,00:00:00.979484
HBOS,3,80/20,0.9044715447154471,0.8020908435472243,0.8502101643102791,0.9717416378316033,00:00:00.038998,00:00:01.821730
LOF,20/0.2,80/20,0.4884457106679329,0.5562364816149964,0.520141580987696,0.8973832179930796,00:00:00,00:00:00.158047
