Technique,Variable,Training_Test,Precision,Recall,F1,Accuracy,Time_t,Time_d
HBOS,3,70/30,0.9014292755051749,0.8141553527709771,0.8555724476669395,0.9725127976852882,00:00:00.063680,00:00:03.765029
Percentile,90/10,70/30,0.9920449227889565,0.943690184731805,0.9672636021444052,0.9936122857778767,00:00:00,00:00:02.259180
Autoencoder,1,70/30,1.0,0.9735143556643668,0.9865794519003045,0.9973514355664367,00:00:16.953045,00:00:05.107889
HBOS,3,70/30,0.8915841584158416,0.8016915201424438,0.8442517285831478,0.970420654351213,00:00:00.063680,00:00:04.050856
Percentile,90/10,70/30,0.9936694021101993,0.9432450478522145,0.9678008677780315,0.9937235699977743,00:00:00,00:00:02.356304
Autoencoder,1,70/30,1.0,0.9726240819051859,0.9861220805596299,0.9972624081905186,00:00:16.953045,00:00:05.115910
HBOS,3,70/30,0.900887573964497,0.8132650790117961,0.8548368230202362,0.9723792566214111,00:00:00.063680,00:00:03.843915
Percentile,90/10,70/30,0.994622398877718,0.9468061428889384,0.9701254275940706,0.9941687068773648,00:00:00,00:00:02.301394
Autoencoder,1,70/30,1.0,0.9724015134653906,0.9860076732114647,0.9972401513465391,00:00:16.953045,00:00:04.796516
HBOS,3,70/30,0.8993506493506493,0.8014689517026485,0.8475932682123102,0.9711773870465168,00:00:00.063680,00:00:03.770007
Percentile,90/10,70/30,0.9962352941176471,0.9423547740930336,0.9685462655838957,0.993879367905631,00:00:00,00:00:02.121305
Autoencoder,1,70/30,1.0,0.9781882929000668,0.9889738973897391,0.9978188292900066,00:00:16.953045,00:00:04.796568
HBOS,3,70/30,0.8963730569948186,0.8085911417760961,0.8502223262344956,0.9715112397062097,00:00:00.063680,00:00:03.645197
Percentile,90/10,70/30,0.9967667436489608,0.960605386156243,0.9783520344554008,0.995748942799911,00:00:00,00:00:02.236534
Autoencoder,1,70/30,1.0,0.9741820609837525,0.9869222096956031,0.9974182060983753,00:00:16.953045,00:00:04.812151
HBOS,3,70/30,0.8938615798483737,0.8134876474515914,0.8517828012118387,0.9716892944580459,00:00:00.063680,00:00:03.687241
Percentile,90/10,70/30,0.9946135831381733,0.9452481638103717,0.9693027501997034,0.9940129089695081,00:00:00,00:00:02.467545
Autoencoder,1,70/30,1.0,0.9755174716225239,0.9876070301937809,0.9975517471622524,00:00:16.953045,00:00:04.827788
HBOS,3,70/30,0.9113350125944585,0.8052526151791676,0.8550159517901453,0.9726908524371244,00:00:00.063680,00:00:03.124766
Percentile,90/10,70/30,0.9951501154734411,0.9590474070776764,0.9767652725830217,0.9954373469841976,00:00:00,00:00:02.468499
Autoencoder,1,70/30,1.0,0.9766303138215001,0.9881770070937959,0.99766303138215,00:00:16.953045,00:00:04.796538
HBOS,3,70/30,0.9013353115727003,0.811261963053639,0.8539299519737613,0.9722457155575339,00:00:00.063680,00:00:03.624686
Percentile,90/10,70/30,0.985266604303087,0.9376808368573336,0.9608849355684798,0.9923659025150233,00:00:00,00:00:02.093583
Autoencoder,1,70/30,1.0,0.9728466503449811,0.9862364620938628,0.9972846650344981,00:00:16.953045,00:00:04.863888
HBOS,3,70/30,0.891358024691358,0.8034720676608057,0.8451363689570409,0.9705541954150901,00:00:00.063680,00:00:03.562202
Percentile,90/10,70/30,0.9939238139752279,0.9465835744491431,0.9696762425900592,0.9940796795014467,00:00:00,00:00:02.109192
Autoencoder,1,70/30,1.0,0.9726240819051859,0.9861220805596299,0.9972624081905186,00:00:16.953045,00:00:04.827788
HBOS,3,70/30,0.9010416666666666,0.8085911417760961,0.852316715542522,0.9719786334297796,00:00:00.063680,00:00:03.749710
Percentile,90/10,70/30,0.9972099511741456,0.9545960382817716,0.9754377984989765,0.9951925217004228,00:00:00,00:00:01.999827
Autoencoder,1,70/30,1.0,0.977520587580681,0.9886325267304445,0.9977520587580682,00:00:16.953045,00:00:04.859041
HBOS,3,70/30,0.9051022923342371,0.8172713109281103,0.8589473684210527,0.9731582461606945,00:00:00.063680,00:00:03.749694
Percentile,90/10,70/30,0.9902166317260657,0.9461384375695526,0.9676758479399042,0.9936790563098152,00:00:00,00:00:02.156066
Autoencoder,1,70/30,1.0,0.9715112397062097,0.9855497855046287,0.997151123970621,00:00:16.953045,00:00:04.542280
HBOS,3,70/30,0.8979995060508768,0.8092588470954819,0.85132287520487,0.9717338081460049,00:00:00.063680,00:00:03.499688
Percentile,90/10,70/30,0.9965043113493358,0.9517026485644335,0.9735883424408015,0.9948364121967505,00:00:00,00:00:02.156081
Autoencoder,1,70/30,1.0,0.9757400400623192,0.9877210769404078,0.9975740040062319,00:00:16.953045,00:00:05.354088
HBOS,3,70/30,0.8977159880834161,0.8048074782995771,0.8487266752728553,0.971310928110394,00:00:00.063680,00:00:03.814178
Percentile,90/10,70/30,0.9910220994475138,0.9581571333184954,0.9743125495077516,0.9949476964166482,00:00:00,00:00:02.189927
Autoencoder,1,70/30,1.0,0.9715112397062097,0.9855497855046287,0.997151123970621,00:00:16.953045,00:00:05.179625
HBOS,3,70/30,0.8995731860406728,0.7974627197863343,0.8454459650778668,0.9708435343868239,00:00:00.063680,00:00:03.644758
Percentile,90/10,70/30,0.9927536231884058,0.9452481638103717,0.968418652377152,0.9938348542176719,00:00:00,00:00:02.059094
Autoencoder,1,70/30,1.0,0.978410861339862,0.989087636404545,0.9978410861339863,00:00:16.953045,00:00:05.210768
HBOS,3,70/30,0.8975992160705536,0.8154907634097485,0.8545772594752186,0.9722457155575339,00:00:00.063680,00:00:03.893885
Percentile,90/10,70/30,0.9894422767959605,0.9594925439572669,0.9742372881355932,0.9949254395726685,00:00:00,00:00:02.024435
Autoencoder,1,70/30,1.0,0.9730692187847764,0.9863508178228991,0.9973069218784776,00:00:16.953045,00:00:05.205537
HBOS,3,70/30,0.8983878847093307,0.8186067215668819,0.856643763829044,0.9726018250612063,00:00:00.063680,00:00:03.934076
Percentile,90/10,70/30,0.9946697566628042,0.9552637436011574,0.974568574023615,0.9950144669485866,00:00:00,00:00:01.925095
Autoencoder,1,70/30,1.0,0.9712886712664144,0.9854352489556283,0.9971288671266414,00:00:16.953045,00:00:05.232003
HBOS,3,70/30,0.8972215392180969,0.8121522368128199,0.852570093457944,0.971911862897841,00:00:00.063680,00:00:03.682883
Percentile,90/10,70/30,0.9935706084959817,0.9630536389939907,0.9780741410488247,0.9956821722679724,00:00:00,00:00:01.971658
Autoencoder,1,70/30,1.0,0.9726240819051859,0.9861220805596299,0.9972624081905186,00:00:16.953045,00:00:05.191114
HBOS,3,70/30,0.898108448928121,0.792566214110839,0.8420430361787655,0.9702648564433564,00:00:00.063680,00:00:03.741025
Percentile,90/10,70/30,0.9939294886761616,0.947473848208324,0.9701458523245214,0.9941687068773648,00:00:00,00:00:01.916143
Autoencoder,1,70/30,1.0,0.9719563765858001,0.9857787810383747,0.99719563765858,00:00:16.953045,00:00:04.974936
HBOS,3,70/30,0.8982587064676617,0.803694636100601,0.84834958299072,0.9712664144224349,00:00:00.063680,00:00:03.637261
Percentile,90/10,70/30,0.9891153311718388,0.9505898063654574,0.9694699807059357,0.9940129089695081,00:00:00,00:00:02.343558
Autoencoder,1,70/30,1.0,0.9764077453817048,0.988063063063063,0.9976407745381705,00:00:16.953045,00:00:05.042597
HBOS,3,70/30,0.9024027743373793,0.8108168261740485,0.8541617819460726,0.9723124860894725,00:00:00.063680,00:00:03.529493
Percentile,90/10,70/30,0.9937701892016613,0.9586022701980859,0.9758694913334088,0.9952592922323614,00:00:00,00:00:02.239959
Autoencoder,1,70/30,1.0,0.9730692187847764,0.9863508178228991,0.9973069218784776,00:00:16.953045,00:00:05.022736
HBOS,3,70/30,0.9013597033374536,0.8114845314934342,0.8540641836495666,0.9722679724015134,00:00:00.063680,00:00:03.591957
Percentile,90/10,70/30,0.9918300653594772,0.9456933006899622,0.9682123732482626,0.9937903405297129,00:00:00,00:00:02.091217
Autoencoder,1,70/30,1.0,0.9703983975072334,0.984976844007681,0.9970398397507233,00:00:16.953045,00:00:05.162802
HBOS,3,70/30,0.8977580684897758,0.8110393946138438,0.852198316183349,0.971867349209882,00:00:00.063680,00:00:03.561810
Percentile,90/10,70/30,0.9923611111111111,0.9541509014021812,0.9728809712924089,0.9946806142888939,00:00:00,00:00:02.218636
Autoencoder,1,80/20,1.0,0.9760394644115574,0.9878744650499287,0.997603524229075,00:00:19.080481,00:00:05.692747
HBOS,3,80/20,0.8981042654028436,0.8012684989429175,0.8469273743016759,0.9710308370044053,00:00:00.067212,00:00:02.470177
Percentile,90/10,80/20,0.9904200442151806,0.9471458773784355,0.968299711815562,0.9937973568281938,00:00:00,00:00:01.522095
Autoencoder,1,80/20,1.0,0.9725158562367865,0.9860664523043945,0.9972511013215859,00:00:19.080481,00:00:05.500258
